Ö;Le¡r s;T vols g (m);Sebess‚g (Km/h);Menetid‹ (perc);Egyir ny£?;S£lykorl toz s z¢na;C‚lforgalomban haszn lhat¢?;étd¡j szelv‚ny;étd¡j
4-Egy‚b (k‚tsz mjegyû) £t;;387,00;70,00;0,33;; ;;86u108k56m;5,14
4-Egy‚b (k‚tsz mjegyû) £t;Kossuth Lajos utca;1 084,00;70,00;0,93;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;Kossuth Lajos utca;793,00;70,00;0,68;; ;;86u105k138m;25,75
4-Egy‚b (k‚tsz mjegyû) £t;;1 043,00;70,00;0,89;; ;;86u105k138m;0,00
4-Egy‚b (k‚tsz mjegyû) £t;;28,00;70,00;0,02;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;;536,00;70,00;0,46;; ;;86u104k517m;8,63
4-Egy‚b (k‚tsz mjegyû) £t;Kossuth Lajos utca;1 095,00;70,00;0,94;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;;219,00;70,00;0,19;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;Kossuth Lajos utca;170,00;70,00;0,15;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;Kossuth Lajos utca;35,00;70,00;0,03;; ;;86u102k773m;3,43
4-Egy‚b (k‚tsz mjegyû) £t;;219,00;70,00;0,19;; ;;86u102k773m;0,00
4-Egy‚b (k‚tsz mjegyû) £t;;2 525,00;70,00;2,16;; ;;86u100k145m;37,68
4-Egy‚b (k‚tsz mjegyû) £t;Ady Endre utca;140,00;70,00;0,12;; ;;86u100k145m;0,00
4-Egy‚b (k‚tsz mjegyû) £t;Ady Endre utca;397,00;70,00;0,34;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;Ady Endre utca;228,00;70,00;0,20;; ;;86u98k777m;11,71
4-Egy‚b (k‚tsz mjegyû) £t;;794,00;70,00;0,68;; ;;86u98k777m;0,00
4-Egy‚b (k‚tsz mjegyû) £t;;1 018,00;70,00;0,87;; ;;86u97k720m;14,45
4-Egy‚b (k‚tsz mjegyû) £t;;109,00;70,00;0,09;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;Berzsenyi utca;923,00;70,00;0,79;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;Szombathelyi utca;402,00;70,00;0,34;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;utca;164,00;70,00;0,14;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;utca;18,00;70,00;0,02;; ;;86u92k604m;49,81
4-Egy‚b (k‚tsz mjegyû) £t;Szombathelyi utca;177,00;70,00;0,15;; ;;86u92k604m;0,00
4-Egy‚b (k‚tsz mjegyû) £t;;3 293,00;70,00;2,82;; ;;86u92k604m;0,00
4-Egy‚b (k‚tsz mjegyû) £t;;954,00;70,00;0,82;; ;;86u91k653m;13,53
4-Egy‚b (k‚tsz mjegyû) £t;Magyar L. utca;26,00;70,00;0,02;; ;;86u91k653m;0,00
4-Egy‚b (k‚tsz mjegyû) £t;Magyar L. utca;743,00;70,00;0,64;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;;242,00;70,00;0,21;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;;1 102,00;70,00;0,94;; ;;86u89k540m;17,27
4-Egy‚b (k‚tsz mjegyû) £t;;1 565,00;70,00;1,34;; ;;86u88k41m;21,55
4-Egy‚b (k‚tsz mjegyû) £t;;740,00;70,00;0,63;; ;;86u87k304m;10,35
4-Egy‚b (k‚tsz mjegyû) £t;;1 309,00;70,00;1,12;; ;;86u85k976m;18,85
4-Egy‚b (k‚tsz mjegyû) £t;;2 094,00;70,00;1,79;; ;;86u83k761m;31,49
4-Egy‚b (k‚tsz mjegyû) £t;;2 831,00;70,00;2,43;; ;;86u80k945m;40,35
4-Egy‚b (k‚tsz mjegyû) £t;Felhajt¢;206,00;70,00;0,18;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;;1 825,00;70,00;1,56;; ;;87u22k4888m;27,98
6-V ros;S”ptei utca;1 203,00;50,00;1,44;; ;;;0,00
5-Als¢bbrendu £t;S”ptei utca;8,00;70,00;0,01;; ;;;0,00
6-V ros;S”ptei utca;535,00;50,00;0,64;; ;;;0,00
6-V ros;Semmelweis Ign c utca;87,00;50,00;0,10;; ;;;0,00
6-V ros;N dasdy Ferenc utca;629,00;50,00;0,75;; ;;;0,00
6-V ros;N dasdy Ferenc utca;629,00;50,00;0,75;; ;;;0,00
6-V ros;Bocskai Istv n k”r£t;337,00;50,00;0,40;; ;;;0,00
5-Als¢bbrendu £t;;61,00;70,00;0,05;; ;;;0,00
6-V ros;Horv th Boldizs r k”r£t;434,00;50,00;0,52;; ;;;0,00
5-Als¢bbrendu £t;Horv th Boldizs r k”r£t;247,00;70,00;0,21;; ;;;0,00
5-Als¢bbrendu £t;Bart¢k B‚la k”r£t;674,00;70,00;0,58;; ;;;0,00
5-Als¢bbrendu £t;Rohonci utca;1 076,00;70,00;0,92;; ;;;0,00
5-Als¢bbrendu £t;Dolgoz¢k £tja;593,00;70,00;0,51;; ;;;0,00
6-V ros;;67,00;50,00;0,08;; ;;;0,00
6-V ros;Gazdag Erzsi utca;133,00;50,00;0,16;; ;;;0,00
6-V ros;Faludi Ferenc utca;142,00;50,00;0,17;; ;;;0,00
5-Als¢bbrendu £t;Dolgoz¢k £tja;91,00;70,00;0,08;; ;;;0,00
6-V ros;;379,00;50,00;0,45;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;Musk tli utca;981,00;70,00;0,84;; ;;;0,00
6-V ros;V¡z”nt‹ utca;397,00;50,00;0,48;; ;;;0,00
6-V ros;V rkonyi Istv n utca;292,00;50,00;0,35;; ;;;0,00
5-Als¢bbrendu £t;Szent Imre herceg £tja;1 087,00;70,00;0,93;; ;;;0,00
5-Als¢bbrendu £t;B‚ke t‚r;102,00;70,00;0,09;; ;;;0,00
5-Als¢bbrendu £t;;127,00;70,00;0,11;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;;55,00;70,00;0,05;; ;;;0,00
5-Als¢bbrendu £t;;79,00;70,00;0,07;; ;;;0,00
5-Als¢bbrendu £t;Hunyadi utca;4 458,00;70,00;3,82;; ;;;0,00
5-Als¢bbrendu £t;;133,00;70,00;0,11;; ;;;0,00
5-Als¢bbrendu £t;Pet‹fi S ndor utca;468,00;70,00;0,40;; ;;;0,00
6-V ros;Pet‹fi S ndor utca;653,00;50,00;0,78;; ;;;0,00
6-V ros;Ady Endre utca;368,00;50,00;0,44;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;K‹szegi utca;779,00;70,00;0,67;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;;42,00;70,00;0,04;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;Szombathelyi utca;731,00;70,00;0,63;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;Szombathelyi utca;758,00;70,00;0,65;; ;;87u39k263m;11,60
4-Egy‚b (k‚tsz mjegyû) £t;K‹szegi utca;60,00;70,00;0,05;; ;;87u39k263m;0,00
4-Egy‚b (k‚tsz mjegyû) £t;K‹szegi utca;724,00;70,00;0,62;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;K‹szegi utca;327,00;70,00;0,28;; ;;87u40k786m;41,44
4-Egy‚b (k‚tsz mjegyû) £t;;2 577,00;70,00;2,21;; ;;87u40k786m;0,00
4-Egy‚b (k‚tsz mjegyû) £t;;1 343,00;70,00;1,15;; ;;87u43k687m;20,00
4-Egy‚b (k‚tsz mjegyû) £t;Szombathelyi utca;79,00;70,00;0,07;; ;;87u43k687m;0,00
4-Egy‚b (k‚tsz mjegyû) £t;Szombathelyi utca;353,00;70,00;0,30;; ;;;0,00
5-Als¢bbrendu £t;Szombathelyi utca;33,00;70,00;0,03;; ;;;0,00
5-Als¢bbrendu £t;R k¢czi Ferenc utca;1 335,00;70,00;1,14;; ;;;0,00
;;;;;;;;;
;;133 859,00;;118,09;;;;;998,96 Ft
