étt¡pus;Le¡r s;T vols g (m);Sebess‚g (Km/h);Menetid‹ (perc);Egyir ny£?;S£lykorl toz s z¢na;C‚lforgalomban haszn lhat¢?;étd¡j szelv‚ny;étd¡j
4-Egy‚b (k‚tsz mjegyû) £t;Dolgoz¢k £tja;40,00;70,00;0,03;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;Musk tli utca;1 804,00;70,00;1,55;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;Szent Imre herceg £tja;78,00;70,00;0,07;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;™nt‹ utca;62,00;70,00;0,05;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;Sa ghy Istv n utca;589,00;70,00;0,50;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;11-es husz r £t;148,00;70,00;0,13;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;11-es husz r £t;60,00;70,00;0,05;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;11-es husz r £t;669,00;70,00;0,57;; ;;87u29k984m;19,12
4-Egy‚b (k‚tsz mjegyû) £t;;661,00;70,00;0,57;; ;;87u29k984m;0,00
4-Egy‚b (k‚tsz mjegyû) £t;;56,00;70,00;0,05;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;;6 388,00;70,00;5,48;; ;;87u31k290m;91,91
4-Egy‚b (k‚tsz mjegyû) £t;K‹szegi utca;44,00;70,00;0,04;; ;;87u31k290m;0,00
4-Egy‚b (k‚tsz mjegyû) £t;K‹szegi utca;779,00;70,00;0,67;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;;42,00;70,00;0,04;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;Szombathelyi utca;731,00;70,00;0,63;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;Szombathelyi utca;758,00;70,00;0,65;; ;;87u39k263m;11,60
4-Egy‚b (k‚tsz mjegyû) £t;K‹szegi utca;60,00;70,00;0,05;; ;;87u39k263m;0,00
4-Egy‚b (k‚tsz mjegyû) £t;K‹szegi utca;724,00;70,00;0,62;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;K‹szegi utca;327,00;70,00;0,28;; ;;87u40k786m;41,44
4-Egy‚b (k‚tsz mjegyû) £t;;2 577,00;70,00;2,21;; ;;87u40k786m;0,00
4-Egy‚b (k‚tsz mjegyû) £t;;1 343,00;70,00;1,15;; ;;87u43k687m;20,00
4-Egy‚b (k‚tsz mjegyû) £t;Szombathelyi utca;79,00;70,00;0,07;; ;;87u43k687m;0,00
4-Egy‚b (k‚tsz mjegyû) £t;Szombathelyi utca;353,00;70,00;0,30;; ;;;0,00
5-Als¢bbrendu £t;Szombathelyi utca;33,00;70,00;0,03;; ;;;0,00
5-Als¢bbrendu £t;R k¢czi Ferenc utca;1 335,00;70,00;1,14;; ;;;0,00
;;;;;;;;;
;;140 481,00;;121,25;;;;;1 581,89 Ft
